ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,NBs,NBID,RA,DEC,F_Lya,dF_Lya,EW_rest,fuv,dfuv,U-B,Type,SpatialWeight,ID_2
466097,0,1,4,0,3,1,0,466,97,52.9945326,-27.8173929,2.96E-17,6.68E-18,22.13,2.42E-30,3.18E-31,1.31,N,3.79,466097
466105,0,0,3,0,3,3,0,466,105,53.0516303,-27.8045708,1.73E-16,8.69E-18,48.77,6.42E-30,2.62E-31,0.84,N,4.2,466105
466108,2,0,0,0,0,0,2,466,108,52.9381186,-27.800227,6.46E-17,9.29E-18,731.76,1.60E-31,3.06E-31,0.54,N,4.08,466108
466109,0,1,0,0,0,1,0,466,109,53.0393315,-27.80191,1.71E-15,9.39E-18,30.69,1.01E-28,2.87E-31,1.86,X,4.05,466109
466110,2,2,0,3,1,0,2,466,110,53.2857206,-27.7952443,3.12E-17,6.08E-18,1988.35,2.85E-32,1.97E-31,0.93,N,4.49,466110
466112,0,5,0,1,0,0,0,466,112,53.2220572,-27.7944578,3.60E-17,4.16E-18,71.46,9.12E-31,1.20E-31,0.97,N,4.37,466112
466114,0,5,0,0,0,0,2,466,114,52.9100749,-27.793261,8.01E-17,5.78E-18,143.98,1.01E-30,1.79E-31,1.28,N,3.57,466114
466116,0,0,3,0,4,2,0,466,116,53.2485933,-27.7905439,7.70E-17,1.06E-17,26.44,5.28E-30,3.12E-31,0.38,N,4.99,466116
466117,1,3,0,5,1,1,0,466,117,53.2687268,-27.7890035,3.16E-17,7.11E-18,72.1,7.94E-31,2.28E-31,0.34,N,4.94,466117
466118,0,0,0,3,1,1,0,466,118,52.9309416,-27.7896325,7.14E-17,1.37E-17,20.25,6.39E-30,4.19E-31,0.99,N,4.15,466118
466122,0,1,4,0,0,0,0,466,122,53.3456041,-27.7851982,1.16E-16,7.77E-18,166.08,1.27E-30,2.52E-31,0.63,N,2.31,466122
466123,0,3,3,3,3,2,0,466,123,52.954543,-27.7847075,3.40E-17,6.18E-18,72.44,8.49E-31,1.98E-31,0.31,N,4.13,466123
466126,0,2,1,1,5,1,0,466,126,53.3057597,-27.7827041,1.10E-16,7.85E-18,27.87,7.12E-30,2.50E-31,0.75,N,3.67,466126
466128,0,2,3,1,3,1,0,466,128,52.9575416,-27.7805042,3.06E-17,7.48E-18,41.58,1.33E-30,2.33E-31,0.78,N,4.04,466128
466131,0,0,4,2,4,2,0,466,131,53.1693168,-27.778326,7.44E-17,8.72E-18,9000,1.50E-32,2.54E-31,1.06,N,4,466131
466132,0,0,4,2,2,2,1,466,132,53.2567283,-27.7779972,8.63E-17,1.19E-17,105.15,1.49E-30,3.63E-31,0.94,N,5.01,466132
466134,0,0,2,1,5,2,0,466,134,53.1571923,-27.7774126,2.91E-17,5.99E-18,54.96,9.59E-31,1.81E-31,0.36,N,3.78,466134
466136,3,0,0,1,0,0,2,466,136,53.1712163,-27.7737214,3.24E-17,4.91E-18,9000,6.52E-33,1.45E-31,-1.16,N,4.06,466136
